"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","Presspsia"
0,2018-08-01 10:28:00,2018-08-01 10:29:00,0.236166666666667,24.9644333333333,524.073333333333,0.351333333333333,1.49233333333333,0.3445,0.3395,3.38783333333333,9.73683333333333,27.9585,149.42,12.3398333333333,8.84,9.652,0.138,0.15,0.05,28.7,28.56,28.52,0.33495
1,2018-08-01 10:30:00,2018-08-01 10:31:00,0.926566666666667,24.7075333333333,523.668333333333,0.6225,2.58583333333333,0.427,0.4265,3.68866666666667,9.91716666666667,28.4783333333333,151.836666666667,12.5976666666667,8.84266666666667,9.552,0.13,0.154,0.05,29.08,29.02,29.3,1.31425
2,2018-08-01 10:32:00,2018-08-01 10:33:00,2.00776666666667,24.5201333333333,523.628333333333,0.4335,1.8235,0.497333333333333,0.498833333333333,3.45316666666667,10.2101666666667,29.3148333333333,149.67,12.4605,8.82433333333333,9.396,0.13,0.15,0.05,29.2,29.1,29.7,2.8482
3,2018-08-01 10:34:00,2018-08-01 10:35:00,3.06498333333333,24.1526166666667,523.905,0.2485,1.07833333333333,0.804833333333333,0.8205,4.0845,10.8,31.0085,140.511666666667,11.7791666666667,8.782,9.05,0.13,0.15,0.05,29.3,29.06,29.8,4.34816666666667
4,2018-08-01 10:36:00,2018-08-01 10:37:00,3.97008333333333,24.0261166666667,526.793333333333,0.296833333333333,1.27216666666667,1.09133333333333,1.12016666666667,4.75666666666667,11.0925,31.8451666666667,127.418333333333,10.707,8.71683333333333,8.746,0.12,0.15,0.05,29.36,28.9,29.72,5.63241666666667
5,2018-08-01 10:38:00,2018-08-01 10:39:00,5.01756666666667,23.63015,533.843333333333,0.272333333333333,1.17433333333333,0.875166666666667,0.8935,3.44716666666667,11.522,33.0763333333333,96.5683333333333,8.17483333333333,8.557,7.756,0.11,0.144,0.04,29.3,28.8,29.6,7.11915
6,2018-08-01 10:40:00,2018-08-01 10:41:00,5.98778333333333,23.2691666666667,537.403333333333,0.258,1.11716666666667,0.676166666666667,0.686,2.67183333333333,11.804,33.8846666666667,90.4916666666667,7.71166666666667,8.5,7.73,0.11,0.14,0.04,29.22,28.68,29.38,8.49646666666667
7,2018-08-01 10:42:00,2018-08-01 10:43:00,6.96981666666667,22.8758166666667,538.608333333333,0.273166666666667,1.1775,0.613333333333333,0.620666666666667,2.63916666666667,12.0046666666667,34.4578333333333,89.06,7.64716666666667,8.4885,7.84833333333333,0.111666666666667,0.14,0.04,29.1333333333333,28.4666666666667,29.1166666666667,9.891
8,2018-08-01 10:44:00,2018-08-01 10:45:00,8.03516666666667,20.8323166666667,573.936666666667,0.166,0.745333333333333,0.1255,0.11,1.071,13.8953333333333,39.8786666666667,8.93166666666667,0.796833333333333,7.65483333333333,20.6416666666667,0.29,0.133333333333333,0.0333333333333333,28.95,28.2666666666667,28.5166666666667,11.4082833333333
9,2018-08-01 10:46:00,2018-08-01 10:47:00,9.04263333333333,18.0596166666667,597.743333333333,0.188666666666667,0.835333333333333,0.185,0.173,0.894,14.7055,42.1983333333333,1.36833333333333,0.128333333333333,7.50733333333333,28.7666666666667,0.403333333333333,0.14,0.04,28.5333333333333,27.9333333333333,27.4333333333333,12.8459666666667
10,2018-08-01 10:48:00,2018-08-01 10:49:00,9.97528333333333,13.0403666666667,616.343333333333,0.159166666666667,0.7185,0.182166666666667,0.169666666666667,0.8605,15.2673333333333,43.8111666666667,0.415,0.0421666666666667,7.3695,52.3733333333333,0.735,0.14,0.04,27.7333333333333,27.3,25.4,14.1824166666667
11,2018-08-01 10:50:00,2018-08-01 10:51:00,11.0019166666667,11.3218,618.531666666667,0.124333333333333,0.576333333333333,0.168666666666667,0.155666666666667,0.6725,15.5008333333333,44.482,0.1,0.0103333333333333,7.32066666666667,46.4666666666667,0.65,0.141666666666667,0.04,26.3166666666667,26.2166666666667,22.9,15.6450666666667
