"Depth_Target","DateTime_Start","DateTime_End","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP"
0,2018-11-16 13:46:00,2018-11-16 13:47:00,25.344,0.356,0.14,0.04,10.8,13.28,11.76
1,2018-11-16 13:48:00,2018-11-16 13:49:00,25.224,0.35,0.14,0.04,10.94,13.08,11.9
2,2018-11-16 13:50:00,2018-11-16 13:51:00,25.192,0.35,0.14,0.04,11.1,12.82,11.92
3,2018-11-16 13:52:00,2018-11-16 13:53:00,25.13,0.35,0.14,0.04,11.14,12.6,12
4,2018-11-16 13:54:00,2018-11-16 13:55:00,25.09,0.35,0.14,0.04,11.2,12.38,12.08
5,2018-11-16 13:56:00,2018-11-16 13:57:00,25.108,0.35,0.14,0.04,11.2,12.16,12.1
6,2018-11-16 13:58:00,2018-11-16 13:59:00,25.038,0.35,0.14,0.04,11.2,11.98,12.14
7,2018-11-16 14:00:00,2018-11-16 14:01:00,25.04,0.35,0.14,0.04,11.2,11.84,12.16
8,2018-11-16 14:02:00,2018-11-16 14:03:00,25.028,0.35,0.14,0.04,11.2,11.74,12.2
9,2018-11-16 14:04:00,2018-11-16 14:05:00,25.04,0.35,0.14,0.04,11.22,11.6,12.2
10,2018-11-16 14:06:00,2018-11-16 14:07:00,25.01,0.35,0.14,0.04,11.26,11.48,12.2
11,2018-11-16 14:25:30,2018-11-16 14:26:30,-1,-1,4.48,99,11.9,10.9,11.9
12,2018-11-16 14:27:30,2018-11-16 14:28:30,-1,-1,4.91,99,12.3,11,12.1
13,2018-11-16 14:29:30,2018-11-16 14:30:30,NA,NA,NA,NA,NA,NA,NA
14,2018-11-16 14:12:00,2018-11-16 14:13:00,24.994,0.35,0.14,0.04,11.26,11.24,12.2
15,2018-11-16 14:14:00,2018-11-16 14:15:00,25.012,0.35,0.14,0.04,11.24,11.2,12.2
16,2018-11-16 14:16:00,2018-11-16 14:17:00,25.018,0.35,0.14,0.04,11.28,11.12,12.2
17,2018-11-16 14:18:00,2018-11-16 14:19:00,25.012,0.35,0.14,0.04,11.3,11.1,12.2
18,2018-11-16 14:20:00,2018-11-16 14:21:00,24.992,0.35,0.14,0.04,11.28,11.1,12.2
19,2018-11-16 14:22:00,2018-11-16 14:23:00,24.48,0.344,0.32,0.212,11.28,11.08,12.2
