sampledate,sampletime,temp,cond,spcond,salinity,chl_rfu,chl_ugl,bga_rfu,bga_ugl,turb,fdom_rfu,fdom_qsu,do_sat,do,ph,orp,orp_raw,pressure,water_depth
2016-04-15,13:39:51,5.707,367.5,582,0.28,0.75,2.88,1.01,1.02,1.58,0.1,1.38,82.1,10.29,8.46,275.2,275.2,0.006,0.004
2016-04-15,13:39:52,5.69,367.2,581.7,0.28,0.94,3.63,0.85,0.85,1.45,30.48,1.02,82.9,10.38,8.46,275,275,0.021,0.014
2016-04-15,13:39:53,5.667,366.8,581.5,0.28,1.14,4.38,0.77,0.77,1.33,41.22,0.9,83.2,10.42,8.45,274.9,274.9,0.035,0.024
2016-04-15,13:39:54,5.652,366.6,581.5,0.28,1.3,5.03,0.65,0.65,1.26,89.42,0.32,84,10.52,8.45,275.2,275.2,0.052,0.036
2016-04-15,13:39:55,5.626,366.4,581.7,0.28,1.45,5.58,0.55,0.55,1.19,104.67,0.14,84.2,10.55,8.44,275.5,275.5,0.067,0.047
2016-04-15,13:39:56,5.617,366.2,581.5,0.28,1.63,6.28,0.46,0.45,1.09,145.28,-0.34,84.8,10.63,8.44,275.6,275.6,0.081,0.057
2016-04-15,13:39:57,5.622,366.1,581.2,0.28,1.76,6.79,0.36,0.35,0.96,174.34,-0.68,84.9,10.65,8.44,275.6,275.6,0.096,0.067
2016-04-15,13:39:58,5.623,365.9,580.9,0.28,1.78,6.86,0.27,0.26,0.96,190.33,-0.87,85.3,10.7,8.44,275.6,275.6,0.11,0.077
2016-04-15,13:39:59,5.616,365.6,580.5,0.28,1.79,6.92,0.18,0.17,0.91,235.79,-1.41,85.6,10.74,8.44,275.7,275.7,0.128,0.09
2016-04-15,13:40:00,5.608,365.3,580.2,0.28,1.78,6.88,0.16,0.14,0.88,263.7,-1.74,89.2,11.19,8.44,275.7,275.7,0.145,0.102
2016-04-15,13:40:01,5.604,365,579.8,0.28,1.78,6.87,0.15,0.14,0.9,293.01,-2.09,89.7,11.26,8.44,275.7,275.7,0.163,0.114
2016-04-15,13:40:02,5.596,364.7,579.4,0.28,1.78,6.84,0.15,0.14,0.83,315.79,-2.36,90.1,11.31,8.44,275.7,275.7,0.181,0.127
2016-04-15,13:40:03,5.589,364.4,579.1,0.28,1.77,6.82,0.14,0.13,0.8,319.18,-2.4,90.3,11.33,8.44,275.7,275.7,0.21,0.147
2016-04-15,13:40:04,5.575,364,578.6,0.28,1.78,6.85,0.15,0.13,0.79,324.93,-2.47,90.6,11.38,8.44,275.7,275.7,0.239,0.168
2016-04-15,13:40:05,5.566,363.6,578.2,0.28,1.78,6.85,0.15,0.13,0.78,354.96,-2.83,90.8,11.4,8.44,275.7,275.7,0.27,0.19
2016-04-15,13:40:06,5.557,363.3,577.8,0.28,1.8,6.92,0.15,0.14,0.78,375.63,-3.07,91.1,11.45,8.44,275.7,275.7,0.3,0.211
2016-04-15,13:40:07,5.548,362.9,577.4,0.28,1.81,6.99,0.16,0.14,0.8,378.77,-3.11,91.3,11.48,8.44,275.7,275.7,0.33,0.232
2016-04-15,13:40:08,5.547,362.6,576.9,0.28,1.82,7.04,0.15,0.13,0.79,382.74,-3.16,91.5,11.5,8.44,275.7,275.7,0.367,0.258
2016-04-15,13:40:09,5.541,362.2,576.5,0.28,1.85,7.14,0.15,0.14,0.78,385.2,-3.18,91.7,11.52,8.44,275.8,275.8,0.398,0.28
2016-04-15,13:40:10,5.529,361.9,576.2,0.28,1.87,7.19,0.14,0.13,0.79,388.04,-3.22,91.8,11.55,8.44,275.8,275.8,0.428,0.301
2016-04-15,13:40:11,5.518,361.6,576,0.28,1.89,7.3,0.14,0.13,0.76,390.91,-3.25,92,11.57,8.44,275.8,275.8,0.455,0.32
2016-04-15,13:40:12,5.512,361.5,575.8,0.28,1.91,7.38,0.15,0.13,0.76,393.75,-3.29,92.1,11.59,8.44,275.8,275.8,0.492,0.346
2016-04-15,13:40:13,5.508,361.3,575.6,0.28,1.94,7.47,0.16,0.14,0.75,397.41,-3.33,92.3,11.61,8.43,275.8,275.8,0.528,0.371
