Date,Secchi Depth meters,Direction,Person
5/1/20,1.8,,Aaron
5/6/20,2,,Aaron
5/12/20,2,,Aaron
5/22/20,8.5,Up,Ben P
5/22/20,8.33,Down,Ben P
5/22/20,8,,Mark G
5/27/20,9.7,,Aaron
6/4/20,9,,Aaron
6/10/20,6.7,,Aaron
6/18/20,5.2,,Aaron
6/25/20,2.2,,Aaron
7/2/20,2,Up,Ben P
7/2/20,2,Down,Ben P
7/7/20,1.7,,Aaron
7/16/20,1.5,,Aaron
7/24/20,1.3,Down,Ben P
7/24/20,1.1,Up,Ben P
7/29/20,1.1,,Aaron
8/5/20,1.2,,Aaron
8/12/20,1.1,,Aaron
8/18/20,1,Down,Ben P
8/18/20,0.8,Up,Ben P
8/25/20,1,Up,Ben P
8/25/20,1,Down,Ben P
9/1/20,1.2,,Aaron
9/11/20,1.6,,Aaron
9/17/20,1.3,,Aaron
9/22/20,1.4,,Aaron
10/2/20,1.5,,Aaron
10/8/20,1.8,,Aaron
10/19/20,2,,Aaron
10/27/20,2.5,,Aaron
11/6/20,4,Up,Ben P
11/6/20,4.33,Down,Ben P
11/12/20,5,,Aaron
4/10/21,1,Down,Riley
4/10/21,1,Up,Riley
4/10/21,0.75,Down,Amber
4/10/21,0.75,Up,Amber
4/10/21,1,Down,Angie
4/10/21,1,Up,Angie
4/17/21,2.33,,
4/17/21,2.5,,
4/17/21,2.75,,
4/17/21,2.66,,
4/24/21,3.75,,
4/24/21,3.5,,
4/24/21,3.75,,
4/24/21,3.75,,
5/6/21,7.5,,
5/6/21,7,,
5/6/21,8,,
5/6/21,7,,
5/12/21,11,,
5/12/21,10.75,,
5/12/21,9.75,,
5/12/21,8.75,,
5/12/21,9.1,,
5/12/21,11,,
5/14/21,10.75,,
5/14/21,9.75,,
5/14/21,9.9,,
5/14/21,8.4,,
5/14/21,10.25,,
5/14/21,9.75,,
5/19/21,5.5,,
5/19/21,5,,
5/19/21,6.7,,
5/19/21,6.75,,
5/19/21,6,,
5/19/21,5.33,,
5/22/21,9,,
5/22/21,8.3,,
5/22/21,8.5,,
5/22/21,8,,
5/22/21,7,,
5/22/21,7,,
5/29/21,6.5,,
5/29/21,6,,
5/29/21,7,,
5/29/21,6.9,,
6/2/21,5,,
6/2/21,5.5,,
6/2/21,5.9,,
6/2/21,5,,
6/7/21,5.4,,
6/7/21,5,,
6/7/21,4.9,,
6/7/21,4.9,,
6/7/21,5.5,,
6/7/21,5.25,,
6/9/21,7.05,,
6/9/21,7,,
6/9/21,8,,
6/9/21,8,,
6/9/21,6.25,,
6/9/21,5.4,,
6/11/21,6.9,,
6/11/21,6.25,,
6/11/21,7.25,,
6/11/21,7.8,,
6/11/21,5.5,,
6/11/21,5,,
6/15/21,2.75,,
6/15/21,0.5,,
6/15/21,2.6,,
6/15/21,2.4,,
6/18/21,2.75,,
6/18/21,2.5,,
6/18/21,2.7,,
6/18/21,2.5,,
6/22/21,2.5,,
6/22/21,2.25,,
6/22/21,2.9,,
6/22/21,2.6,,
6/25/21,2.5,,
6/25/21,2.5,,
6/25/21,2.5,,
6/25/21,2.5,,
6/28/21,3.6,,
6/28/21,3,,
6/28/21,2.5,,
6/28/21,2.25,,
6/28/21,2.75,,
6/28/21,2.25,,
7/2/21,4,,
7/2/21,3.75,,
7/2/21,4.2,,
7/2/21,3.6,,
7/6/21,2.1,,
7/6/21,1.8,,
7/6/21,1.75,,
7/6/21,1.75,,
7/6/21,0.1,,
7/6/21,1.9,,
7/13/21,2.5,,
7/13/21,2.2,,
7/13/21,2.25,,
7/13/21,2,,
7/13/21,2,,
7/13/21,2,,
7/16/21,1.5,,
7/16/21,1.5,,
7/16/21,2,,
7/16/21,1.5,,
7/20/21,1.75,,
7/20/21,1.75,,
7/20/21,1.5,,
7/20/21,1.8,,
7/20/21,1.6,,
7/23/21,1.5,,
7/23/21,1.5,,
7/26/21,1.4,,
7/26/21,1.2,,
7/26/21,1.5,,
7/26/21,1.5,,
7/29/21,1.7,,
7/29/21,1.4,,
7/29/21,1.7,,
7/29/21,1.5,,
8/2/21,1.4,,
8/2/21,1.6,,
8/2/21,1.5,,
8/2/21,2,,
8/5/21,1.6,,
8/5/21,1.2,,
8/5/21,1.5,,
8/5/21,1.4,,
8/10/21,1.33,,
8/10/21,1.5,,
8/10/21,1.5,,
8/10/21,1.2,,
8/13/21,1.1,,
8/13/21,1.1,,
8/13/21,1,,
8/13/21,1,,
8/16/21,1,,
8/16/21,0.9,,
8/16/21,1.1,,
8/16/21,1,,
8/23/21,1.1,,
8/23/21,1,,
8/23/21,1,,
8/23/21,1,,
8/27/21,1,,
8/27/21,1,,
8/27/21,1.25,,
8/27/21,1,,
8/31/21,1.2,,
8/31/21,1,,
9/6/21,1.25,,
9/6/21,1.1,,
9/16/21,1.2,,
9/16/21,1.1,,
9/16/21,1.25,,
9/16/21,1,,
9/28/21,1,,
9/28/21,1.1,,
10/5/21,1.5,,
10/5/21,1.25,,
10/15/21,1.66,,
10/15/21,1.5,,
10/26/21,2.4,,
10/26/21,2,,
11/3/21,2.5,,
11/3/21,2.25,,
