,Date,Site,Depth,Temp.C,SpCond.uScm,Chlorophyll.RFU,Chlorophyll.ug/L,BGA-PC.RFU,BGA-PC.ug/L,Turbidity.FNU,fDOM.RFU,fDOM.QSU,ODO%sat,ODO.mg/L,pH
1,2019-05-21,A,0,11.11836667,716.6883333,0.1345,0.618166667,0.103,0.086833333,0.613666667,13.5545,38.89933333,93.70833333,10.28333333,8.3925
2,2019-05-21,A,1,11.11606667,742.6366667,0.169166667,0.758833333,0.101166667,0.084333333,0.500166667,13.72683333,39.39533333,94.09666667,10.32,8.343666667
3,2019-05-21,A,2,11.11746667,742.71,0.162,0.73,0.101666667,0.085666667,0.479166667,13.71183333,39.35566667,94.09166667,10.32,8.33
4,2019-05-21,A,3,11.11718333,742.5066667,0.6795,2.818666667,0.288,0.279,10.005,13.298,38.16516667,94.06166667,10.31816667,8.33
5,2019-05-21,D,0,11.11836667,716.6883333,0.1345,0.618166667,0.103,0.086833333,0.613666667,13.5545,38.89933333,93.70833333,10.28333333,8.3925
6,2019-05-21,D,1,11.11606667,742.6366667,0.169166667,0.758833333,0.101166667,0.084333333,0.500166667,13.72683333,39.39533333,94.09666667,10.32,8.343666667
7,2019-05-21,D,2,11.11746667,742.71,0.162,0.73,0.101666667,0.085666667,0.479166667,13.71183333,39.35566667,94.09166667,10.32,8.33
8,2019-05-21,D,3,11.11718333,742.5066667,0.6795,2.818666667,0.288,0.279,10.005,13.298,38.16516667,94.06166667,10.31816667,8.33
9,2019-05-22,C,0,10.78391667,744.0583333,0.182666667,0.812166667,0.102833333,0.087333333,1.3765,13.87816667,39.829,98.355,10.87616667,8.33
10,2019-05-22,C,1,10.72458333,744.2066667,0.212833333,0.932,0.106333333,0.0905,1.302333333,13.92716667,39.97033333,98.16333333,10.87,8.327333333
11,2019-05-22,C,2,10.62145,744.2983333,0.250666667,1.084666667,0.099166667,0.083,1.314833333,13.995,40.16483333,97.845,10.861,8.321833333
12,2019-05-22,C,3,10.57971667,744.3916667,0.245,1.062,0.099833333,0.083833333,1.225833333,14.02983333,40.26183333,97.74833333,10.85816667,8.32
13,2019-05-22,C,4,10.43525,744.3583333,0.2325,1.014,0.099666667,0.0835,1.065833333,14.12666667,40.54083333,97.31666667,10.85,8.32
14,2019-05-22,C,5,9.964566667,744.8583333,0.163833333,0.739,0.0905,0.074,0.736166667,14.38266667,41.27616667,95.79333333,10.7945,8.305333333
15,2019-05-22,C,6,9.665583333,745.0466667,0.134,0.612666667,0.094166667,0.078166667,0.572666667,14.57316667,41.82016667,94.57666667,10.7355,8.291833333
16,2019-05-22,C,7,9.5896,744.9983333,0.1305,0.6015,0.083666667,0.0665,0.5235,14.62433333,41.96583333,94.10166667,10.7005,8.286833333
17,2019-05-22,C,8,9.5613,744.965,0.131333333,0.608,0.087333333,0.070333333,0.526166667,14.6525,42.04733333,93.89833333,10.68733333,8.28
18,2019-05-22,C,9,9.530133333,745.0216667,0.128333333,0.591,0.091,0.074833333,0.559666667,14.67566667,42.11466667,93.71833333,10.67383333,8.28
19,2019-05-22,C,10,9.4512,745.3116667,0.128166667,0.590833333,0.088166667,0.071,0.588166667,14.72116667,42.24466667,93.345,10.64933333,8.274833333
20,2019-05-22,C,11,16.90214063,380.3716662,0.114465818,0.536826098,0.244845334,0.235539381,0.651401092,7.084598388,20.35893943,96.47483754,9.500896803,7.705393813
21,2019-05-22,C,12,9.31445,745.7816667,0.1255,0.582833333,0.088333333,0.071333333,0.591166667,14.79683333,42.46133333,92.17,10.5505,8.254333333
22,2019-05-22,C,13,9.270833333,746.3666667,0.1225,0.567833333,0.095333333,0.079666667,0.603166667,14.8225,42.5355,90.69,10.392,8.235833333
23,2019-05-22,C,14,9.215816667,747.365,1.014166667,4.167833333,0.4275,0.427,150.1306667,12.9615,37.20133333,89.075,10.21916667,8.200333333
24,2019-05-22,C,15,10.0308,508.8183333,0.5315,2.217333333,0.917166667,0.938166667,5.745333333,9.033833333,25.9465,90.85166667,10.235,8.218166667
25,2019-05-29,A,0,14.90691667,575.075,0.061,0.319333333,0.024166667,0.0045,0.352,13.24883333,38.02816667,91.16833333,9.197166667,8.367333333
26,2019-05-29,A,1,14.3304,574.4583333,0.081833333,0.4055,0.048333333,0.030333333,0.4235,13.9035,39.90116667,92.19,9.416166667,8.355
27,2019-05-29,A,2,14.11078333,573.6916667,0.108666667,0.514833333,0.0595,0.042333333,0.803833333,14.23516667,40.852,94.74833333,9.724333333,8.37
28,2019-06-05,B,0,16.71768333,576.615,0.2155,0.944166667,0.053666667,0.035666667,0.1455,12.6315,36.25583333,91,8.831,8.3695
29,2019-06-05,B,1,16.61566667,576.5616667,0.083666667,0.414166667,-0.0095,-0.0305,0.125666667,12.86583333,36.9285,90.85,8.838166667,8.132833333
