Group_1,Date_Time,Depthm,TempC,SpConduScm,ChlorophyllRFU,ChlorophyllugL,BGAPCRFU,BGAPCugL,TurbidityFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Presspsia,Point,latitude,longitude
1,2019-06-20 13:41:00,0.121852459,21.87132787,287.1983607,0.083934426,0.413770492,0.135409836,0.121147541,0.668360656,5.147540984,14.80754098,94.55737705,8.308032787,8.270655738,0.17295082,1,43.083419,-89.41371
2,2019-06-20 13:49:00,0.22647541,19.24093443,576.2442623,0.088196721,0.429672131,0.019180328,-0.000327869,0.203442623,11.67377049,33.5104918,90.99180328,8.387704918,8.189016393,0.321672131,2,43.0887,-89.40976
3,2019-06-20 13:59:00,0.200278689,20.62416393,330.2393443,0.103114754,0.48852459,0.132295082,0.117540984,1.872622951,6.740163934,19.37213115,91.0704918,8.196721311,8.195737705,0.284245902,3,43.084463,-89.4069
4,2019-06-20 14:07:00,0.188770492,20.58381967,286.0983607,0.087377049,0.426885246,0.100655738,0.084918033,1.703606557,5.96147541,17.14147541,90.16065574,8.117540984,8.149508197,0.267983607,4,43.0855,-89.3883
1,2019-06-28 09:34:35,0.021590164,24.883,23.3442623,0.039344262,0.234098361,0.093114754,0.077540984,1.915245902,0.259016393,0.795901639,109.7459016,9.09147541,8.324098361,0.03052459,1,43.08411,-89.42232
3,2019-06-28 09:46:00,0.042868852,25.12683607,60.67540984,0.056557377,0.303934426,0.27295082,0.265409836,2.793770492,1.10557377,3.224262295,112.5737705,9.300491803,8.609672131,0.060704918,3,43.08404,-89.40232
4,2019-06-28 09:51:28,0.065819672,25.32577049,53.9852459,0.047213115,0.265409836,0.37852459,0.375245902,3.690163934,1.732131148,5.020655738,118.8245902,9.773442623,8.67,0.093344262,4,43.0907,-89.38933
5,2019-06-28 09:56:55,0.035934426,25.4532623,84.0147541,0.047377049,0.268032787,0.245901639,0.23704918,4.344262295,1.831967213,5.304262295,118.3918033,9.711967213,8.654918033,0.051016393,5,43.09255,-89.37981
6,2019-06-28 10:02:47,0.066508197,25.67695082,47.24590164,0.064098361,0.332622951,0.253606557,0.243114754,2.761967213,2.619508197,7.562786885,117.0163934,9.55852459,8.646721311,0.094262295,6,43.09569,-89.38945
7,2019-06-28 10:09:20,0.05004918,25.87670492,52.36557377,0.072786885,0.368688525,0.460163934,0.460163934,3.286721311,2.858032787,8.248360656,122.042623,9.936721311,8.677704918,0.071016393,7,43.09748,-89.40602
8,2019-06-28 10:14:08,0.058081967,26.01436066,131.0229508,0.05852459,0.312459016,0.321147541,0.316229508,2.696229508,3.204098361,9.239508197,123.7688525,10.04885246,8.702622951,0.082409836,8,43.0941,-89.41691
1,2019-07-08 09:29:58,0.148196721,25.56939344,518.9967213,0.168688525,0.756721311,0.983934426,1.00852459,4.643770492,11.87147541,34.07901639,160.0737705,13.07213115,8.797213115,0.21004918,1,43.08283,-89.41381
