Year,Month,Day,Hour,Minute,Second,Depth.m,Temperature.C,Dissolved.Oxygen.mg.L,pH,Specific.Conductance.uS.cm,Barometer.kPA,Unit.ID
2014,5,30,17,24,0,0,22,10.3,8.83,523,98.95,Poseidon YSI Pro-Plus
2014,5,30,17,24,0,1,21.8,10.6,8.85,521,98.94,Poseidon YSI Pro-Plus
2014,5,30,17,25,0,2,20,10.9,8.87,521,98.93,Poseidon YSI Pro-Plus
2014,5,30,17,25,0,3,19.1,10.9,8.85,523,98.94,Poseidon YSI Pro-Plus
2014,5,30,17,26,0,4,17.7,11,8.8,523,98.94,Poseidon YSI Pro-Plus
2014,5,30,17,27,0,5,14.5,9.2,8.54,535,98.94,Poseidon YSI Pro-Plus
2014,5,30,17,28,0,6,12.7,8.5,8.33,541,98.94,Poseidon YSI Pro-Plus
2014,5,30,17,28,0,7,12,8.6,8.31,542,98.93,Poseidon YSI Pro-Plus
2014,5,30,17,29,0,8,11.8,8.4,8.27,542,98.93,Poseidon YSI Pro-Plus
2014,5,30,17,29,0,9,11.4,8.8,8.3,542,98.94,Poseidon YSI Pro-Plus
2014,5,30,17,30,0,10,10.5,8.9,8.25,543,98.93,Poseidon YSI Pro-Plus
2014,5,30,17,31,0,11,10.3,8.8,8.25,543,98.93,Poseidon YSI Pro-Plus
2014,5,30,17,32,0,12,9.9,8.8,8.19,543,98.94,Poseidon YSI Pro-Plus
2014,5,30,17,32,0,13,9.7,8.7,8.14,544,98.94,Poseidon YSI Pro-Plus
2014,5,30,17,33,0,14,9.7,8.5,8.12,543,98.94,Poseidon YSI Pro-Plus
2014,5,30,17,33,0,15,9.4,7.9,8.07,546,98.93,Poseidon YSI Pro-Plus
2014,5,30,17,34,0,16,9.2,7.8,8.05,546,98.94,Poseidon YSI Pro-Plus
2014,5,30,17,34,0,17,9,7.6,7.96,546,98.93,Poseidon YSI Pro-Plus
2014,5,30,17,35,0,18,8.7,6.5,7.87,548,98.94,Poseidon YSI Pro-Plus
2014,5,30,17,36,0,20,8.7,6.1,7.84,549,98.93,Poseidon YSI Pro-Plus
2014,6,8,16,36,0,0,21.2,10.1,8.8,497,98.62,Poseidon YSI Pro-Plus
2014,6,8,16,37,0,1,21.2,10.2,8.8,496.9,98.62,Poseidon YSI Pro-Plus
2014,6,8,16,37,0,2,20.8,10.2,8.79,497.1,98.61,Poseidon YSI Pro-Plus
2014,6,8,16,37,0,3,20.7,10,8.78,497.5,98.62,Poseidon YSI Pro-Plus
2014,6,8,16,38,0,4,20.4,9.7,8.76,497.8,98.62,Poseidon YSI Pro-Plus
2014,6,8,16,38,0,5,18,8.3,8.57,505,98.62,Poseidon YSI Pro-Plus
2014,6,8,16,39,0,6,15.3,7.8,8.38,511,98.62,Poseidon YSI Pro-Plus
2014,6,8,16,39,0,7,14,8,8.33,513,98.62,Poseidon YSI Pro-Plus
