"Year","Month","Day","Hour","Minute","Depth.m","Dissolved.Oxygen.mg.L","People","Instrument","Notes.Dissolved.Oxygen"
2006,6,15,0,0,"0",11.5,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"1",11.5,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"2",11.5,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"3",11.7,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"4",12,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"5",11.7,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"6",11.2,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"7",9.7,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"8",8.7,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"9",8.3,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"10",8.2,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"11",8,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"12",7.6,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"13",6.7,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"14",6.8,"Georgia Wolfe",NA,NA
2006,6,15,0,0,"15",6.4,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"0",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"1",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"2",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"3",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"4",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"5",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"6",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"7",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"8",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"9",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"10",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"11",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"12",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"13",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"14",NA,"Georgia Wolfe",NA,NA
2006,6,22,0,0,"15",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"0",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"1",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"2",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"3",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"4",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"5",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"6",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"7",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"8",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"9",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"10",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"11",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"12",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"13",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"14",NA,"Georgia Wolfe",NA,NA
2006,6,27,0,0,"15",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"0",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"1",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"2",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"3",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"4",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"5",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"6",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"7",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"8",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"9",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"10",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"11",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"12",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"13",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"14",NA,"Georgia Wolfe",NA,NA
2006,6,29,0,0,"15",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"0",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"1",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"2",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"3",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"4",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"5",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"6",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"7",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"8",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"9",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"10",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"11",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"12",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"13",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"14",NA,"Georgia Wolfe",NA,NA
2006,7,5,0,0,"15",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"0",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"1",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"2",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"3",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"4",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"5",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"6",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"7",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"8",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"9",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"10",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"11",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"12",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"13",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"14",NA,"Georgia Wolfe",NA,NA
2006,7,12,0,0,"15",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"0",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"1",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"2",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"3",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"4",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"5",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"6",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"7",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"8",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"9",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"10",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"11",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"12",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"13",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"14",NA,"Georgia Wolfe",NA,NA
2006,7,18,0,0,"15",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"0",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"1",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"2",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"3",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"4",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"5",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"6",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"7",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"8",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"9",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"10",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"11",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"12",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"13",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"14",NA,"Georgia Wolfe",NA,NA
2006,7,20,0,0,"15",NA,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"0",8.3,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"1",8.4,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"2",8.4,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"3",8.3,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"4",8.4,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"5",8.3,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"6",8.1,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"7",8,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"8",7.9,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"9",7.8,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"10",7.6,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"11",1.7,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"12",0.4,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"13",0.3,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"14",0.2,"Georgia Wolfe",NA,NA
2006,7,25,0,0,"15",0.2,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"0",9.9,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"1",9.5,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"2",9.3,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"3",9.3,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"4",9.4,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"5",9.4,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"6",8.9,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"7",6.6,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"8",5.3,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"9",3.8,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"10",0.7,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"11",0.6,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"12",0.5,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"13",0.5,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"14",0.5,"Georgia Wolfe",NA,NA
2006,8,1,0,0,"15",0.5,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"0",8.6,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"1",8.6,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"2",8.6,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"3",8.6,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"4",8.6,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"5",8.7,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"6",8.5,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"7",5.7,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"8",5.1,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"9",3.8,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"10",0.8,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"11",0.4,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"12",0.4,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"13",0.4,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"14",0.4,"Georgia Wolfe",NA,NA
2006,8,3,0,0,"15",0.4,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"0",8.1,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"1",8.3,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"2",8.5,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"3",8.5,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"4",8.5,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"5",8.5,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"6",7.7,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"7",7.8,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"8",2.6,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"9",1.4,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"10",0.5,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"11",0.3,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"12",0.3,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"13",0.3,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"14",0.3,"Georgia Wolfe",NA,NA
2006,8,8,0,0,"15",0.3,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"0",7.8,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"1",7.7,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"2",7.7,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"3",7.7,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"4",7.6,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"5",7.5,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"6",7.5,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"7",7.2,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"8",1.8,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"9",0.3,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"10",0.2,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"11",0.1,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"12",0.1,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"13",0.1,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"14",0.1,"Georgia Wolfe",NA,NA
2006,8,10,0,0,"15",0.1,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"0",8.2,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"1",8.1,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"2",8.2,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"3",8.1,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"4",8.3,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"5",8.1,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"6",7.9,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"7",7.7,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"8",7.6,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"9",7.6,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"10",0.4,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"11",0.2,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"12",0.2,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"13",0.2,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"14",0.1,"Georgia Wolfe",NA,NA
2006,8,15,0,0,"15",0.1,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"0",7.1,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"1",7.4,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"2",7.4,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"3",7.4,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"4",7.4,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"5",7.4,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"6",7.1,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"7",6.8,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"8",7,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"9",3.1,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"10",2.4,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"11",1.9,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"12",16,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"13",1.2,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"14",1.2,"Georgia Wolfe",NA,NA
2006,8,18,0,0,"15",1.4,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"0",8.5,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"1",8.5,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"2",8.7,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"3",8.6,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"4",8.3,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"5",8.3,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"6",8.3,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"7",8.1,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"8",7.5,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"9",5.2,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"10",0.5,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"11",0.3,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"12",0.2,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"13",0.2,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"14",0.2,"Georgia Wolfe",NA,NA
2006,8,22,0,0,"15",0.2,"Georgia Wolfe",NA,NA
2006,8,30,0,0,"0",8.1,"Georgia Wolfe",NA,NA
2006,8,30,0,0,"1",8.2,"Georgia Wolfe",NA,NA
2006,8,30,0,0,"2",8.1,"Georgia Wolfe",NA,NA
