"Year","Month","Day","Hour","Minute","Depth.m","Water.Temp.C","People","Instrument"
2006,6,15,0,0,"0",21.1,"Georgia Wolfe",NA
2006,6,15,0,0,"1",20.9,"Georgia Wolfe",NA
2006,6,15,0,0,"2",20.7,"Georgia Wolfe",NA
2006,6,15,0,0,"3",20.6,"Georgia Wolfe",NA
2006,6,15,0,0,"4",20.4,"Georgia Wolfe",NA
2006,6,15,0,0,"5",20.1,"Georgia Wolfe",NA
2006,6,15,0,0,"6",19.8,"Georgia Wolfe",NA
2006,6,15,0,0,"7",18.9,"Georgia Wolfe",NA
2006,6,15,0,0,"8",15.2,"Georgia Wolfe",NA
2006,6,15,0,0,"9",14.2,"Georgia Wolfe",NA
2006,6,15,0,0,"10",13.5,"Georgia Wolfe",NA
2006,6,15,0,0,"11",13.1,"Georgia Wolfe",NA
2006,6,15,0,0,"12",12.5,"Georgia Wolfe",NA
2006,6,15,0,0,"13",12.1,"Georgia Wolfe",NA
2006,6,15,0,0,"14",12,"Georgia Wolfe",NA
2006,6,15,0,0,"15",11.8,"Georgia Wolfe",NA
2006,6,22,0,0,"0",22.5,"Georgia Wolfe",NA
2006,6,22,0,0,"1",22.5,"Georgia Wolfe",NA
2006,6,22,0,0,"2",22.3,"Georgia Wolfe",NA
2006,6,22,0,0,"3",22.2,"Georgia Wolfe",NA
2006,6,22,0,0,"4",22.1,"Georgia Wolfe",NA
2006,6,22,0,0,"5",21.9,"Georgia Wolfe",NA
2006,6,22,0,0,"6",21.7,"Georgia Wolfe",NA
2006,6,22,0,0,"7",21.4,"Georgia Wolfe",NA
2006,6,22,0,0,"8",20.8,"Georgia Wolfe",NA
2006,6,22,0,0,"9",19.5,"Georgia Wolfe",NA
2006,6,22,0,0,"10",14.8,"Georgia Wolfe",NA
2006,6,22,0,0,"11",13.4,"Georgia Wolfe",NA
2006,6,22,0,0,"12",13.1,"Georgia Wolfe",NA
2006,6,22,0,0,"13",12.8,"Georgia Wolfe",NA
2006,6,22,0,0,"14",12.3,"Georgia Wolfe",NA
2006,6,22,0,0,"15",11.9,"Georgia Wolfe",NA
2006,6,27,0,0,"0",23.8,"Georgia Wolfe",NA
2006,6,27,0,0,"1",23,"Georgia Wolfe",NA
2006,6,27,0,0,"2",22.7,"Georgia Wolfe",NA
2006,6,27,0,0,"3",22.1,"Georgia Wolfe",NA
2006,6,27,0,0,"4",21.9,"Georgia Wolfe",NA
2006,6,27,0,0,"5",21.6,"Georgia Wolfe",NA
2006,6,27,0,0,"6",21.5,"Georgia Wolfe",NA
2006,6,27,0,0,"7",21.4,"Georgia Wolfe",NA
2006,6,27,0,0,"8",21.3,"Georgia Wolfe",NA
2006,6,27,0,0,"9",15.7,"Georgia Wolfe",NA
2006,6,27,0,0,"10",14.1,"Georgia Wolfe",NA
2006,6,27,0,0,"11",13.4,"Georgia Wolfe",NA
2006,6,27,0,0,"12",12.9,"Georgia Wolfe",NA
2006,6,27,0,0,"13",12.4,"Georgia Wolfe",NA
2006,6,27,0,0,"14",12,"Georgia Wolfe",NA
2006,6,27,0,0,"15",11.9,"Georgia Wolfe",NA
2006,6,29,0,0,"0",24.7,"Georgia Wolfe",NA
2006,6,29,0,0,"1",23.4,"Georgia Wolfe",NA
2006,6,29,0,0,"2",22.5,"Georgia Wolfe",NA
2006,6,29,0,0,"3",22.3,"Georgia Wolfe",NA
2006,6,29,0,0,"4",22.1,"Georgia Wolfe",NA
2006,6,29,0,0,"5",22,"Georgia Wolfe",NA
2006,6,29,0,0,"6",21.6,"Georgia Wolfe",NA
2006,6,29,0,0,"7",21.6,"Georgia Wolfe",NA
2006,6,29,0,0,"8",19.3,"Georgia Wolfe",NA
2006,6,29,0,0,"9",5.7,"Georgia Wolfe",NA
2006,6,29,0,0,"10",14.7,"Georgia Wolfe",NA
2006,6,29,0,0,"11",14.1,"Georgia Wolfe",NA
