"Year","Month","Day","Secchi.Depth.m","s.Secchi.Depth.m","People","Notes.Secchi"
2012,6,8,5,NA,"Trevor, James, Diana, Jay, Doug",NA
2012,6,15,2.33,NA,"Doug Chalmers, Trevor Ghylin, James Muetschler",NA
2012,6,22,1.85,NA,"Aaron Besaw, Doug Chalmers, Trevor Ghylin, James Muetschler, Craig Snortheim",NA
2012,6,29,2.25,NA,"Aaron Besaw, Doug Chalmers",NA
2012,7,6,1.8,NA,"Doug Chalmers, James Muetschler","Original Secchi disk went underwater"
2012,7,13,2.19456,NA,"Aaron Besaw. James Muetschler, Craig Snortheim","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,7,20,2.286,NA,"Aaron Besaw, Craig Snortheim, Doug Chalmers, James Muetschler, Trevor Ghylin","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,7,27,2.0574,NA,"Aaron Besaw, Craig Snortheim, Doug Chalmers","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,8,3,2.0574,NA,"Aaron Besaw, Craig Snorthiem, Doug Chalmers, Trevor Ghylin","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,8,17,2.286,NA,"Aaron Besaw, Craig Snorthiem","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,8,24,2.0574,NA,"Aaron Besaw, Craig Snorthiem","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,8,31,2.286,NA,"Aaron Besaw, Craig Snorthiem","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,9,7,2.5146,NA,"Aaron Besaw, Craig Snorthiem, Robin","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,9,13,2.286,NA,"Aaron Besaw, Craig Snorthiem","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,9,21,2.286,NA,"Aaron Besaw, Craig Snorthiem","very wavy by the buoy; I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,9,27,2.286,NA,"Aaron Besaw, Craig Snorthiem","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,10,8,2.286,NA,"Aaron Besaw, Craig Snorthiem","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,10,12,2.286,NA,"James Mutschler","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,10,22,4.8006,NA,"Aaron, Robin","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,10,26,3.6576,NA,"Aaron Besaw, Craig Snortheim","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,11,5,4.1148,NA,"Aaron Besaw, Craig Snortheim","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,11,9,4.572,NA,"Aaron Besaw, Craig Snortheim","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2012,11,16,3.429,NA,"Aaron Besaw, Craig Snortheim","I think instrument was marked in yards here, I converted what was recorded to meters. (Compare to NTL data supports this) -RRR"
2013,4,30,2.286,NA,"CCC, EBP, PCH","secchi was marked in yards, data here has been converted from yards to meters (even though it was recorded as meters in original field notes)"
2013,5,7,1.8288,NA,"EBP, TWG","secchi was marked in yards, data here has been converted from yards to meters (even though it was recorded as meters in original field notes)"
